Artist,Track Name,Spotify Link,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence
Nunca Mates o Mandarim,Quero,https://open.spotify.com/track/5ddK2Ey5W5L88unazEfEk9,0.548,0.671,0.294,0.00522,0.112,0.0669,0.453
Bring Me The Horizon,Kingslayer (feat. BABYMETAL),https://open.spotify.com/track/7CAbF0By0Fpnbiu6Xn5ZF7,0.000207,0.434,0.929,0.00109,0.0916,0.147,0.428
Bring Me The Horizon,in the dark,https://open.spotify.com/track/4swVflM7KtMxzfHBWqPv9S,0.00736,0.535,0.768,0,0.661,0.0577,0.514
Gorillaz,Tranz,https://open.spotify.com/track/7jYUaoOfdcYgUvkK8NnFfx,0.0324,0.649,0.883,0.0185,0.0658,0.0306,0.779
Twenty One Pilots,Shy Away - Livestream Version,https://open.spotify.com/track/5FE96VMbxbodJP59XMxHhl,0.00138,0.584,0.88,6.16e-05,0.0829,0.0564,0.421
Will Wood,Cicada Days,https://open.spotify.com/track/5QweQSpm9R9ounFpGhlMc7,0.645,0.703,0.486,0.00013,0.281,0.0499,0.623
My Chemical Romance,Jet-Star and the Kobra Kid / Traffic Report,https://open.spotify.com/track/2iMjpD1UJzncfBpOsVeupT,0.807,0.706,0.39,0,0.45,0.826,0.917
The Joy Formidable,Whirring,https://open.spotify.com/track/7q24RMcVT7Ea6c6hAlsOTC,0.000129,0.335,0.968,0.288,0.341,0.0505,0.372
Linkin Park,Forgotten,https://open.spotify.com/track/7kxM3UJwN6rHAW5kwdlAHK,0.0132,0.615,0.947,0,0.366,0.11,0.498
Nirvana,Something In The Way,https://open.spotify.com/track/4gHnSNHs8RyVukKoWdS99f,0.745,0.427,0.201,0.263,0.109,0.0317,0.0668
Foo Fighters,The Glass,https://open.spotify.com/track/26iWAXoJRiUv9yYzxYBqSv,0.00175,0.407,0.741,0,0.135,0.0345,0.232
SG Lewis,Holding On,https://open.spotify.com/track/0edHs9HMx4m76nWrnefSXf,0.104,0.664,0.801,0.000788,0.146,0.0453,0.489
